facility_name,district,level,latitude,longitude
998 Kagoma County Buwenge Town Council,Jinja,Hospital,,
2102 Luuka County Luuka Town Council,Luuka,Hospital,,
3130 Pallisa County Pallisa Town Council,Pallisa,Hospital,,
Abim General,Abim,Hospital,,
Adea Health Centre II,Abim,HC II,,
Alerek Health Centre III,Abim,HC II,,
Amita Health Centre II,Abim,HC II,,
Atunga Health Centre II,Abim,HC II,,
Awach Health Centre II,Abim,HC II,,
Gangming Health Centre II,Abim,HC II,,
Kanu Health Centre II,Abim,HC II,,
Katabok (Abim) Health Centre II,Abim,HC II,,
Kiru Health Centre II,Abim,HC II,,
Koya Health Centre II,Abim,HC II,,
Morulem Health Centre III,Abim,HC II,,
Nyakwae Health Centre III,Abim,HC II,,
Obolokome Health Centre II,Abim,HC II,,
Opopongo Health Centre II,Abim,HC II,,
Oreta Health Centre II,Abim,HC II,,
Orwamuge Health Centre III,Abim,HC II,,
Oscar Military Battalion Health Centre II,Abim,HC II,,
Pupu Kamuya Health Centre II,Abim,HC II,,
Wilela Health Centre II,Abim,HC II,,
1 East Moyo HSD Adjumani General,Adjumani,Hospital,,
2 East Moyo HSD Adjumani Alere Health Centre II,Adjumani,HC II,,
3 East Moyo HSD Adjumani Mission Health Centre III,Adjumani,HC II,,
4 East Moyo HSD Adjumani Police Health Centre II,Adjumani,HC II,,
5 East Moyo HSD Adjumani Prisons Health Centre II,Adjumani,HC II,,
6 East Moyo HSD Agojo Health Centre II,Adjumani,HC II,,
7 East Moyo HSD Ajeri Health Centre II,Adjumani,HC II,,
8 East Moyo HSD Ajugopi Health Centre II,Adjumani,HC II,,
9 East Moyo HSD Aliwara Health Centre II,Adjumani,HC II,,
10 East Moyo HSD Anzoa Medical Bureau Health Centre III,Adjumani,HC II,,
11 East Moyo HSD Arinyapi Health Centre II,Adjumani,HC II,,
12 East Moyo HSD Arra (Adjumani) Health Centre II,Adjumani,HC II,,
13 East Moyo HSD Ayilo Health Centre II,Adjumani,HC II,,
14 East Moyo HSD Ayilo Reugee Settlement Health Centre III,Adjumani,HC II,,
15 East Moyo HSD Ayiri Refugee Settlement Health Centre III,Adjumani,HC II,,
16 East Moyo HSD Bira Health Centre III,Adjumani,HC II,,
17 East Moyo HSD Ciforo Health Centre III,Adjumani,HC II,,
18 East Moyo HSD Dzaipi Health Centre III,Adjumani,HC II,,
19 East Moyo HSD Elegu Health Centre II,Adjumani,HC II,,
20 East Moyo HSD Elema Health Centre II,Adjumani,HC II,,
21 East Moyo HSD Kureku Health Centre II,Adjumani,HC II,,
22 East Moyo HSD Lewa Health Centre II,Adjumani,HC II,,
23 East Moyo HSD Maaji A Health Centre II,Adjumani,HC II,,
24 East Moyo HSD Maaji B Health Centre II,Adjumani,HC II,,
25 East Moyo HSD Magburu Health Centre II,Adjumani,HC II,,
26 East Moyo HSD Maryland Kocoa Health Centre III,Adjumani,HC II,,
27 East Moyo HSD Mungula Health Centre IV,Adjumani,HC IV,,
28 East Moyo HSD Nyumanzi Health Centre II,Adjumani,HC II,,
29 East Moyo HSD Obilokongo Health Centre II,Adjumani,HC II,,
30 East Moyo HSD Ofua Health Centre III,Adjumani,HC II,,
31 East Moyo HSD Ogolo Health Centre II,Adjumani,HC II,,
32 East Moyo HSD Olia Health Centre II,Adjumani,HC II,,
33 East Moyo HSD Opejo Health Centre II,Adjumani,HC II,,
34 East Moyo HSD Openzinzi Health Centre III,Adjumani,HC II,,
35 East Moyo HSD Pachara Health Centre II,Adjumani,HC II,,
36 East Moyo HSD Pakele Health Centre III,Adjumani,HC II,,
37 East Moyo HSD Robidire Health Centre III,Adjumani,HC II,,
38 East Moyo HSD Uderu Health Centre II,Adjumani,HC II,,
39 East Moyo HSD Ukusijoni Health Centre III,Adjumani,HC II,,
40 East Moyo HSD Zoka Health Centre II,Adjumani,HC II,,
Abilonino Health Centre II,Agago,HC II,,
Acholpii Health Centre III,Agago,HC II,,
Acuru Health Centre II,Agago,HC II,,
Adilang Health Centre III,Agago,HC II,,
Alop Health Centre II,Agago,HC II,,
Amyel Health Centre II,Agago,HC II,,
Geregere Health Centre II,Agago,HC II,,
Kabala Health Centre II,Agago,HC II,,
Kalongo Ambrosoli Memerial General,Agago,Hospital,,
Kokil Health Centre II,Agago,HC II,,
Kotomor Health Centre III,Agago,HC II,,
Kuywee Health Centre II,Agago,HC II,,
Kwonkic Health Centre II,Agago,HC II,,
Lamiyo Health Centre II,Agago,HC II,,
Lanyirinyiri Health Centre II,Agago,HC II,,
Lapirin Health Centre III,Agago,HC II,,
Layita Health Centre II,Agago,HC II,,
Ligiligi Health Centre II,Agago,HC II,,
Lira Kaket Health Centre II,Agago,HC II,,
Lira Kato Health Centre III,Agago,HC II,,
Lira Palwo Health Centre III,Agago,HC II,,
Lukole Health Centre III,Agago,HC II,,
Obolokome (Agago) Health Centre II,Agago,HC II,,
Odokomit Health Centre II,Agago,HC II,,
Ogwang Kamolo Health Centre II,Agago,HC II,,
Okwadoko Health Centre II,Agago,HC II,,
Olung Health Centre II,Agago,HC II,,
Omiya Pacwa Health Centre II,Agago,HC II,,
Omot Health Centre II,Agago,HC II,,
Ongalo Health Centre II,Agago,HC II,,
Onudapet Health Centre II,Agago,HC II,,
Orina Health Centre II,Agago,HC II,,
Otumpili Health Centre II,Agago,HC II,,
Pacer Health Centre II,Agago,HC II,,
Paimol Health Centre III,Agago,HC II,,
Pakor Health Centre II,Agago,HC II,,
Patongo Health Centre III,Agago,HC II,,
St. Janani Health Centre II,Agago,HC II,,
Toroma Health Centre II,Agago,HC II,,
Wol Health Centre III,Agago,HC II,,
Abako Health Centre III,Alebtong,HC II,,
Abako-Elim Health Centre II,Alebtong,HC II,,
Adwir Health Centre II,Alebtong,HC II,,
Akura Health Centre II,Alebtong,HC II,,
Alanyi Health Centre III,Alebtong,HC II,,
Alebtong Abia GOVT Health Centre II,Alebtong,HC II,,
Alebtong Health Centre IV,Alebtong,HC IV,,
Aloi Mission Health Centre III,Alebtong,HC II,,
Amugu Health Centre III,Alebtong,HC II,,
Anara Health Centre II,Alebtong,HC II,,
Angetta Health Centre II,Alebtong,HC II,,
Anyanga Health Centre II,Alebtong,HC II,,
Apala Health Centre III,Alebtong,HC II,,
Awei Health Centre II,Alebtong,HC II,,
Moroto Abia Health Centre II,Alebtong,HC II,,
Obim Health Centre II,Alebtong,HC II,,
Omarari Health Centre II,Alebtong,HC II,,
Omoro Health Centre III,Alebtong,HC II,,
Oteno Health Centre II,Alebtong,HC II,,
Acii Health Centre II,Amolatar,HC II,,
Alemere Medical Aid Health Centre II,Amolatar,HC II,,
Alyecmeda Health Centre II,Amolatar,HC II,,
Amai Community General,Amolatar,Hospital,,
Amolatar Health Centre IV,Amolatar,HC IV,,
Anamwany Health Centre II,Amolatar,HC II,,
Aputi Health Centre III,Amolatar,HC II,,
Arwotcek Health Centre II,Amolatar,HC II,,
Awonangiro Health Centre II,Amolatar,HC II,,
Biko Health Centre II,Amolatar,HC II,,
Etam Health Centre III,Amolatar,HC II,,
Nakatiti Health Centre II,Amolatar,HC II,,
Namasale Health Centre III,Amolatar,HC II,,
Achorichor Health Centre II,Amudat,HC II,,
Alakas Health Centre II,Amudat,HC II,,
Amudat General,Amudat,Hospital,,
Amudat Health Centre II,Amudat,HC II,,
Cheptapoyo Health Centre II,Amudat,HC II,,
Karita Health Centre III,Amudat,HC II,,
Katabok (Amudat) Health Centre II,Amudat,HC II,,
Lokales Health Centre II,Amudat,HC II,,
Loroo Health Centre III,Amudat,HC II,,
Abarilela Health Centre III,Amuria,HC II,,
Abeko CBO Health Centre II,Amuria,HC II,,
Abeko Health Centre II,Amuria,HC II,,
Abia Health Centre II,Amuria,HC II,,
Acowa Health Centre III,Amuria,HC II,,
Aeket Health Centre II,Amuria,HC II,,
Agonga Health Centre II,Amuria,HC II,,
Airabet Health Centre II,Amuria,HC II,,
Ajeleik Health Centre II,Amuria,HC II,,
Akeriau Health Centre II,Amuria,HC II,,
Alito Health Centre II,Amuria,HC II,,
Amaseniko Health Centre II,Amuria,HC II,,
Amilmil Health Centre II,Amuria,HC II,,
Amolo Health Centre II,Amuria,HC II,,
Amucu Health Centre III,Amuria,HC II,,
Amuria Alere Health Centre II,Amuria,HC II,,
Amuria COU Health Centre II,Amuria,HC II,,
Amuria Health Centre IV,Amuria,HC IV,,
Amusus CBO Health Centre II,Amuria,HC II,,
Amusus Health Centre III,Amuria,HC II,,
Angerepo Health Centre II,Amuria,HC II,,
Arute Health Centre II,Amuria,HC II,,
Asamuk Health Centre III,Amuria,HC II,,
Calvary Chapel Health Centre II,Amuria,HC II,,
Kapelebyong Health Centre IV,Amuria,HC IV,,
Morungatuny Health Centre III,Amuria,HC II,,
Nyada Health Centre II,Amuria,HC II,,
Obalanga Health Centre III,Amuria,HC II,,
Ogolokwara (Ajaki) Health Centre II,Amuria,HC II,,
Okoboi Health Centre II,Amuria,HC II,,
Olwa Health Centre II,Amuria,HC II,,
Ongutoi Health Centre III,Amuria,HC II,,
Orungo Health Centre III,Amuria,HC II,,
St Claire Orungo Health Centre III,Amuria,HC II,,
St Michael-wera Health Centre III,Amuria,HC II,,
St. Francis Acumet Health Centre III,Amuria,HC II,,
Uganda Government Prisons Health Centre II,Amuria,HC II,,
Wera Health Centre III,Amuria,HC II,,
Abedober Health Centre III,Apac,HC II,,
Abei Health Centre II,Apac,HC II,,
Abongomola Health Centre III,Apac,HC II,,
Abwong Health Centre II,Apac,HC II,,
Acwao Health Centre II,Apac,HC II,,
Aduku Health Centre IV,Apac,HC IV,,
Aduku Mission Health Centre II,Apac,HC II,,
Aganga Health Centre II,Apac,HC II,,
Akali Health Centre II,Apac,HC II,,
Akokoro Health Centre III,Apac,HC II,,
Alado Health Centre II,Apac,HC II,,
Alenga Health Centre III,Apac,HC II,,
Alworoceng Health Centre II,Apac,HC II,,
Aninolal Health Centre II,Apac,HC II,,
Apac General,Apac,Hospital,,
Apac Medical Centre (Apac) Health Centre II,Apac,HC II,,
Apac Prisons Health Centre II,Apac,HC II,,
Apire Health Centre III,Apac,HC II,,
Apoi Health Centre III,Apac,HC II,,
Apwori Health Centre III,Apac,HC II,,
Atar Health Centre II,Apac,HC II,,
Awila Medicare Clinic Health Centre II,Apac,HC II,,
Ayago Health Centre II,Apac,HC II,,
Biashara Health Centre II,Apac,HC II,,
Chawente Health Centre III,Apac,HC II,,
Chegere Health Centre II,Apac,HC II,,
Garden Medical Centre Health Centre II,Apac,HC II,,
Ibuje Health Centre III,Apac,HC II,,
Inomo Health Centre III,Apac,HC II,,
Iwal Maternity Home Health Centre II,Apac,HC II,,
Kidilani Health Centre II,Apac,HC II,,
Kungu Health Centre II,Apac,HC II,,
Langi Onoteba Health Centre II,Apac,HC II,,
Lavita Clinic Health Centre II,Apac,HC II,,
Morningside Clinic Health Centre II,Apac,HC II,,
Nambieso Health Centre III,Apac,HC II,,
Nightingale General,Apac,Hospital,,
Olelpek Health Centre II,Apac,HC II,,
Owiny Health Centre II,Apac,HC II,,
Reproductive Health Uganda (Apac) Health Centre II,Apac,HC II,,
St Mary’s Clinic Health Centre II,Apac,HC II,,
Teboke Health Centre II,Apac,HC II,,
Teboke Health Centre III,Apac,HC II,,
Vision Medicines (U) LTD Health Centre II,Apac,HC II,,
Wansolo Health Centre II,Apac,HC II,,
Adumi Health Centre IV,Arua,HC IV,,
3 Vurra And Upper Madi HSD Ajia Health Centre III,Arua,HC II,,
4 Vurra And Upper Madi HSD Akino Health Centre II,Arua,HC II,,
Andelizu Health Centre II,Arua,HC II,,
6 Vurra And Upper Madi HSD Anyavu Health Centre II,Arua,HC II,,
7 Vurra And Upper Madi HSD Anyiribu Health Centre III,Arua,HC II,,
8Terego HSD Aripea Health Centre III,Arua,HC II,,
Aroi Health Centre III,Arua,HC II,,
10Arua Municipality HSD Arua (Arua RR,Arua,Hospital,,
11 Arua Municipality HSD Arua Military Health Centre II,Arua,HC II,,
12 Arua Municipality HSD Arua Police Health Centre III,Arua,HC II,,
13 Arua Municipality HSD Arua Prisons Health Centre III,Arua,HC II,,
14 Arua Municipality HSD Arua Radiology Health Centre II,Arua,HC II,,
15 Arua Municipality HSD Arua Regional Referral,Arua,Hospital,,
16 Vurra And Upper Madi HSD Ayayia Health Centre II,Arua,HC II,,
Ayivuni Health Centre III,Arua,HC II,,
Bileafe Health Centre III,Arua,HC II,,
19 Vurra And Upper Madi HSD Bondo Health Centre III,Arua,HC II,,
20 Vurra And Upper Madi HSD Bondo Military Health Centre III,Arua,HC II,,
Burua Health Centre II,Arua,HC II,,
Cilio Health Centre III,Arua,HC II,,
23Ayivu HSD Ediofe Health Centre III,Arua,HC II,,
24 Madi-Okollo (Lower Madi) HSD Ewanga Health Centre III,Arua,HC II,,
26 Madi-Okollo (Lower Madi) HSD Gbulukuatuni Health Centre II,Arua,HC II,,
Giligili Health Centre II,Arua,HC II,,
Imvepi Health Centre II,Arua,HC II,,
29 Madi-Okollo (Lower Madi) HSD Inde Health Centre III,Arua,HC II,,
Itia Health Centre II,Arua,HC II,,
31 Vurra And Upper Madi HSD Katiyi Health Centre III,Arua,HC II,,
32 Vurra And Upper Madi HSD Kuluva General,Arua,Hospital,,
Kumuyo Health Centre II,Arua,HC II,,
34 Vurra And Upper Madi HSD Lazebu Health Centre II,Arua,HC II,,
35 Vurra And Upper Madi HSD Logiri Health Centre III,Arua,HC II,,
37 Arua Municipality HSD Masjid Noor Health Centre II,Arua,HC II,,
Micu Parish Health Centre II,Arua,HC II,,
39 Arua Municipality HSD Munguci Health Centre II,Arua,HC II,,
Ndaapi Health Centre II,Arua,HC II,,
Nichu Health Centre II,Arua,HC II,,
Obofia Health Centre II,Arua,HC II,,
44 Madi-Okollo (Lower Madi) HSD Ocea Health Centre II,Arua,HC II,,
45 Madi-Okollo (Lower Madi) HSD Odraka Health Centre II,Arua,HC II,,
46 Madi-Okollo (Lower Madi) HSD Oduobu Health Centre III,Arua,HC II,,
Odupi Health Centre III,Arua,HC II,,
48 Vurra And Upper Madi HSD Offaka Health Centre III,Arua,HC II,,
49 Madi-Okollo (Lower Madi) HSD Ogoko Health Centre II,Arua,HC II,,
Ogua Health Centre II,Arua,HC II,,
Oje Mission Health Centre III,Arua,HC II,,
52 Vurra And Upper Madi HSD Okollo Health Centre III,Arua,HC II,,
53 Arua Municipality HSD Oli Health Centre IV,Arua,HC IV,,
54 Madi-Okollo (Lower Madi) HSD Olivu Health Centre II,Arua,HC II,,
55 Madi-Okollo (Lower Madi) HSD Olujobo Health Centre III,Arua,HC II,,
Oluko Solidale Health Centre III,Arua,HC II,,
Ombidriondrea Health Centre III,Arua,HC II,,
Omugo Health Centre IV,Arua,HC IV,,
59 Vurra And Upper Madi HSD Opia Health Centre III,Arua,HC II,,
Oreku Health Centre II,Arua,HC II,,
Oriajini General,Arua,Hospital,,
Orivu Health Centre III,Arua,HC II,,
Otumbari Health Centre III,Arua,HC II,,
64 Vurra And Upper Madi HSD Oyima Health Centre III,Arua,HC II,,
Pajulu Health Centre III,Arua,HC II,,
66 Madi-Okollo (Lower Madi) HSD Pawor Health Centre III,Arua,HC II,,
67 Arua Municipality HSD Pioneer General,Arua,Hospital,,
Rhema General,Arua,Hospital,,
70 Madi-Okollo (Lower Madi) HSD Rhino Camp Health Centre IV,Arua,HC IV,,
Riki Health Centre III,Arua,HC II,,
Siripi Health Centre III,Arua,HC II,,
St Assumpta Health Centre III,Arua,HC II,,
St. Francis (Ajiraku) Health Centre III,Arua,HC II,,
75 Vurra And Upper Madi HSD St. Jude Uleppi Health Centre II,Arua,HC II,,
Tuku Health Centre II,Arua,HC II,,
78 Vurra And Upper Madi HSD Uleppi Health Centre II,Arua,HC II,,
79 Vurra And Upper Madi HSD Vurra Health Centre III,Arua,HC II,,
Wandi Health Centre III,Arua,HC II,,
Yinga Health Centre III,Arua,HC II,,
Budaka Health Centre IV,Budaka,HC IV,,
Butove Health Centre II,Budaka,HC II,,
Iki Iki Dispensary Health Centre II,Budaka,HC II,,
Iki Iki Health Centre III,Budaka,HC II,,
Inkerini Health Centre II,Budaka,HC II,,
Kaderuna Health Centre III,Budaka,HC II,,
Kameruka Health Centre III,Budaka,HC II,,
Kamonkoli Health Centre III,Budaka,HC II,,
Katira Health Centre III,Budaka,HC II,,
Kebula Health Centre II,Budaka,HC II,,
Kerekerene Health Centre III,Budaka,HC II,,
Lyama Health Centre III,Budaka,HC II,,
Marah Health Centre II,Budaka,HC II,,
Mugiti Health Centre III,Budaka,HC II,,
Naboa Health Centre III,Budaka,HC II,,
Namengo Health Centre III,Budaka,HC II,,
Namusita (Budaka) Health Centre II,Budaka,HC II,,
Nansanga Health Centre III,Budaka,HC II,,
River Side Medical Research Center General,Budaka,Hospital,,
Sapiri Health Centre III,Budaka,HC II,,
Siita Save Life Health Centre III,Budaka,HC II,,
Beatrice Tierney Health Centre II,Bududa,HC II,,
Bubungi Health Centre II,Bududa,HC II,,
Bududa General,Bududa,Hospital,,
Bufuma Health Centre III,Bududa,HC II,,
Bukalasi Health Centre III,Bududa,HC II,,
Bukibokolo Health Centre III,Bududa,HC II,,
Bukigai Health Centre III,Bududa,HC II,,
Bukigai SDA Health Centre II,Bududa,HC II,,
Bulucheke Health Centre III,Bududa,HC II,,
Bumusi Health Centre II,Bududa,HC II,,
Bunamono Health Centre II,Bududa,HC II,,
Bushika Health Centre III,Bududa,HC II,,
Bushiyi Health Centre III,Bududa,HC II,,
Buwagiyu Health Centre II,Bududa,HC II,,
Namaitsu Health Centre II,Bududa,HC II,,
1 Bukooli North HSD BMK Health Centre II,Bugiri,HC II,,
2 Bukooli Central HSD Budhaya Health Centre II,Bugiri,HC II,,
3 Bukooli North HSD Buduma Health Centre II,Bugiri,HC II,,
4 Bukooli North HSD Bugiri General,Bugiri,Hospital,,
5 Bukooli Central HSD Bugiri Buwunga Health Centre III,Bugiri,HC II,,
6 Bukooli Central HSD Bugiri Mayuge Health Centre III,Bugiri,HC II,,
7 Bukooli North HSD Bugiri Police Health Centre II,Bugiri,HC II,,
8 Bukooli North HSD Bugiri Prisons Health Centre II,Bugiri,HC II,,
9 Bukooli North HSD Bugiri Town Council Health Centre II,Bugiri,HC II,,
10 Bukooli North HSD Bugoyozi Health Centre II,Bugiri,HC II,,
11 Bukooli Central HSD Bulesa Health Centre III,Bugiri,HC II,,
12 Bukooli Central HSD Bulidha Health Centre III,Bugiri,HC II,,
13 Bukooli North HSD Buluguyi Health Centre III,Bugiri,HC II,,
14 Bukooli Central HSD Buluwe Health Centre II,Bugiri,HC II,,
15 Bukooli Central HSD Busimbi Health Centre II,Bugiri,HC II,,
16 Bukooli Central HSD Busoga Health Centre II,Bugiri,HC II,,
17 Bukooli Central HSD Busowa Health Centre II,Bugiri,HC II,,
18 Bukooli Central HSD Buwuni Health Centre II,Bugiri,HC II,,
19 Bukooli North HSD Fast Line Cinic,Bugiri,Clinic,,
20 Bukooli North HSD Iwemba Health Centre III,Bugiri,HC II,,
21 Bukooli North HSD Kapyanga Health Centre II,Bugiri,HC II,,
22 Bukooli North HSD Kasokwe (Bugiri) Health Centre II,Bugiri,HC II,,
23 Bukooli Central HSD Kavule (Bugiri) Health Centre II,Bugiri,HC II,,
24 Bukooli Central HSD Kavule C.O.U Health Centre II,Bugiri,HC II,,
25 Bukooli North HSD Kayango Health Centre III,Bugiri,HC II,,
26 Bukooli Central HSD Kayogera Health Centre II,Bugiri,HC II,,
27 Bukooli Central HSD Kibimba Health Centre II,Bugiri,HC II,,
28 Bukooli North HSD Kigulu Health Centre II,Bugiri,HC II,,
29 Bukooli North HSD Kirongero Health Centre II,Bugiri,HC II,,
30 Bukooli North HSD Kiseitaka Health Centre II,Bugiri,HC II,,
31 Bukooli Central HSD Kitodha Health Centre II,Bugiri,HC II,,
32 Bukooli Central HSD Kitumba Health Centre II,Bugiri,HC II,,
33 Bukooli Central HSD Kyemeire Health Centre II,Bugiri,HC II,,
34 Bukooli Central HSD Matiki Health Centre II,Bugiri,HC II,,
35 Bukooli Central HSD Mawanga C. O. G Health Centre II,Bugiri,HC II,,
36 Bukooli Central HSD Maziriga Health Centre II,Bugiri,HC II,,
37 Bukooli Central HSD Muterere Health Centre III,Bugiri,HC II,,
38 Bukooli Central HSD Nabijingo Health Centre II,Bugiri,HC II,,
39 Bukooli North HSD Nabukalu Health Centre III,Bugiri,HC II,,
40 Bukooli Central HSD Nakigundu Health Centre II,Bugiri,HC II,,
42 Bukooli North HSD Nambo Health Centre II,Bugiri,HC II,,
43 Bukooli North HSD Nanderema Health Centre II,Bugiri,HC II,,
44 Bukooli Central HSD Nankoma Health Centre IV,Bugiri,HC IV,,
45 Bukooli Central HSD Nankoma Islamic Health Centre II,Bugiri,HC II,,
46 Bukooli North HSD Nkaiza Health Centre II,Bugiri,HC II,,
47 Bukooli North HSD Nsango Health Centre II,Bugiri,HC II,,
48 Bukooli Central HSD Ntawawula Health Centre II,Bugiri,HC II,,
49 Bukooli Central HSD St Luke Muterere Health Centre II,Bugiri,HC II,,
50 Bukooli North HSD St. John Paul Memorial,Bugiri,Clinic,,
51 Bukooli North HSD St. Mary’s Clinc,Bugiri,Clinic,,
52 Bukooli North HSD URHB Medical Center,Bugiri,Clinic,,
53 Bukooli North HSD Village of Eden Health Centre II,Bugiri,HC II,,
54 Bukooli Central HSD Wakawaka Health Centre II,Bugiri,HC II,,
55 Bukooli North HSD Wangobo Health Centre II,Bugiri,HC II,,
Beverly Health Centre II,Buhweju,HC II,,
Bihanga Health Centre III,Buhweju,HC II,,
Bitsya Health Centre II,Buhweju,HC II,,
Buredo Health Centre II,Buhweju,HC II,,
Burere Health Centre III,Buhweju,HC II,,
Butare Health Centre III,Buhweju,HC II,,
Bwoga Health Centre II,Buhweju,HC II,,
Engaju Health Centre II,Buhweju,HC II,,
Karungu (Buhweju) Health Centre III,Buhweju,HC II,,
Kikamba Health Centre II,Buhweju,HC II,,
Kiyanja Health Centre II,Buhweju,HC II,,
Kyeyare Health Centre II,Buhweju,HC II,,
Mushasha Health Centre II,Buhweju,HC II,,
Nsiika Health Centre IV,Buhweju,HC IV,,
Rushambya Health Centre II,Buhweju,HC II,,
Rwanyamabare Health Centre II,Buhweju,HC II,,
Tumu General,Buhweju,Hospital,,
1 Buikwe North HSD Al-hijira Health Centre III,Buikwe,HC II,,
2 Buikwe South HSD Bubiro Health Centre II,Buikwe,HC II,,
3 Buikwe North HSD Bugungu Health Centre II,Buikwe,HC II,,
4 Buikwe North HSD Bugungu Yo Prison Health Centre II,Buikwe,HC II,,
5 Buikwe North HSD Bugungu YP Health Centre II,Buikwe,HC II,,
6 Buikwe South HSD Buikwe Health Centre III,Buikwe,HC II,,
7 Buikwe North HSD Buikwe Kalagala Health Centre II,Buikwe,HC II,,
8 Buikwe South HSD Buikwe St. Charles Lwanga General,Buikwe,Hospital,,
9 Buikwe North HSD Bukaya Health Centre II,Buikwe,HC II,,
10 Buikwe West HSD Busabaga Health Centre III,Buikwe,HC II,,
11 Buikwe North HSD Buwagajjo Health Centre III,Buikwe,HC II,,
12 Buikwe West HSD Buwundo Health Centre II,Buikwe,HC II,,
13 Buikwe North HSD Buziika Health Centre II,Buikwe,HC II,,
14 Buikwe North HSD Canan Health Centre II,Buikwe,HC II,,
15 Buikwe North HSD Christ The King Health Centre II,Buikwe,HC II,,
16 Buikwe South HSD Ddungi Health Centre II,Buikwe,HC II,,
17 Buikwe South HSD Ebenezer Health Centre II,Buikwe,HC II,,
18 Buikwe West HSD Eng Brigade Military Lugazi Health Centre III,Buikwe,HC II,,
19 Buikwe South HSD Health Initiative Association Health Centre II,Buikwe,HC II,,
20 Buikwe South HSD Health Initiative For Africa Health Centre III,Buikwe,HC II,,
21 Buikwe West HSD Joska Medical Centre,Buikwe,Clinic,,
22 Buikwe North HSD Kabizi Health Centre II,Buikwe,HC II,,
23 Buikwe North HSD Kabizi- Bugoba Health Centre II,Buikwe,HC II,,
24 Buikwe West HSD Kasaku Health Centre II,Buikwe,HC II,,
25 Buikwe South HSD Kasubi Health Centre III,Buikwe,HC II,,
26 Buikwe South HSD Kavule (Buikwe) Health Centre II,Buikwe,HC II,,
27 Buikwe West HSD Kawolo General,Buikwe,Hospital,,
28 Buikwe South HSD Kikwayi Health Centre II,Buikwe,HC II,,
29 Buikwe South HSD Kingdom Life Health Center,Buikwe,Clinic,,
30 Buikwe South HSD Kisimba Muslim Health Centre II,Buikwe,HC II,,
31 Buikwe West HSD Kizigo Health Centre II,Buikwe,HC II,,
32 Buikwe North HSD Konko Health Centre II,Buikwe,HC II,,
33 Buikwe West HSD Living Water Community Medical Centre,Buikwe,Clinic,,
34 Buikwe North HSD Lugazi II Health Centre II,Buikwe,HC II,,
35 Buikwe West HSD Lugazi Mission Health Centre II,Buikwe,HC II,,
36 Buikwe West HSD Lugazi Muslim Health Centre II,Buikwe,HC II,,
37 Buikwe West HSD Lugazi Police Health Centre II,Buikwe,HC II,,
38 Buikwe West HSD Lugazi Scoul General,Buikwe,Hospital,,
39 Buikwe South HSD Makindu Health Centre III,Buikwe,HC II,,
40 Buikwe South HSD Makonge Health Centre III,Buikwe,HC II,,
41 Buikwe West HSD Najjembe Health Centre III,Buikwe,HC II,,
42 Buikwe North HSD Naminya Health Centre II,Buikwe,HC II,,
43 Buikwe South HSD Namulesa Health Centre II,Buikwe,HC II,,
44 Buikwe South HSD Ngogwe Health Centre III,Buikwe,HC II,,
45 Buikwe North HSD Ngoma medical clinic Health Centre II,Buikwe,HC II,,
46 Buikwe North HSD Nile Breweries Company Clinic Health Centre III,Buikwe,HC II,,
47 Buikwe North HSD Njeru Town Council Health Centre III,Buikwe,HC II,,
48 Buikwe South HSD Nkokonjeru General,Buikwe,Hospital,,
49 Buikwe South HSD Nkokonjeru Health Centre II,Buikwe,HC II,,
50 Buikwe North HSD Nytil Southern Range Nyanza,Buikwe,Clinic,,
51 Buikwe South HSD Ssenyi Health Centre II,Buikwe,HC II,,
52 Buikwe South HSD Ssi Health Centre III,Buikwe,HC II,,
53 Buikwe North HSD St. Francis Health Care Services Health Centre III,Buikwe,HC II,,
54 Buikwe North HSD St. Francis Nyenga General,Buikwe,Hospital,,
55 Buikwe North HSD Tongolo Health Centre II,Buikwe,HC II,,
56 Buikwe North HSD Wakisi Health Centre III,Buikwe,HC II,,
Akuoro Health Centre II,Bukedea,HC II,,
Aminit Health Centre II,Bukedea,HC II,,
Apopong Health Centre II,Bukedea,HC II,,
Bukedea Health Centre IV,Bukedea,HC IV,,
Bukedea Mission Health Centre II,Bukedea,HC II,,
Busano Health Centre II,Bukedea,HC II,,
Holy Innocent Health Centre III,Bukedea,HC II,,
Kabarwa Health Centre III,Bukedea,HC II,,
Kachumbala Health Centre III,Bukedea,HC II,,
Kachumbala Ngo Health Centre II,Bukedea,HC II,,
Kangole Health Centre II,Bukedea,HC II,,
Kidongole Health Centre III,Bukedea,HC II,,
Koboli Health Centre II,Bukedea,HC II,,
Kocheka Health Centre II,Bukedea,HC II,,
Kolir Health Centre III,Bukedea,HC II,,
Malera Health Centre III,Bukedea,HC II,,
Nalugai Health Centre II,Bukedea,HC II,,
St Martha Marten Health Centre II,Bukedea,HC II,,
St. Jude Maternity Health Centre II,Bukedea,HC II,,
Tajar Health Centre II,Bukedea,HC II,,
Busagula Health Centre II,Bukomansimbi,HC II,,
Kigangazzi Health Centre II,Bukomansimbi,HC II,,
Bigasa Health Centre III,Bukomansimbi,HC II,,
Buke Medical Centre Health Centre III,Bukomansimbi,HC II,,
Bukomansimbi Medical Center Health Centre III,Bukomansimbi,HC II,,
Kitaasa Health Centre III,Bukomansimbi,HC II,,
Eva Dormicilliary Clinic Health Centre II,Bukomansimbi,HC II,,
Kabigi Muslim Health Centre II,Bukomansimbi,HC II,,
